id,timestamp,price,market_cap,total_volume,ath,atl,open,high,low,close
bitcoin,2025-05-18,103212.36483885496,2050318521477.805,18950056010.479057,126080.0,67.81,103212.36483885496,103212.36483885496,103212.36483885496,103212.36483885496
bitcoin,2025-05-19,106030.6376831359,2104889720872.8306,30744060179.802963,126080.0,67.81,106030.6376831359,106030.6376831359,106030.6376831359,106030.6376831359
bitcoin,2025-05-20,105629.41580436694,2098485415895.0496,43339734153.75087,126080.0,67.81,105629.41580436694,105629.41580436694,105629.41580436694,105629.41580436694
bitcoin,2025-05-21,106786.71995834043,2121778617273.821,36393687094.25122,126080.0,67.81,106786.71995834043,106786.71995834043,106786.71995834043,106786.71995834043
bitcoin,2025-05-22,109665.86371625263,2178838967665.505,60722883113.84,126080.0,67.81,109665.86371625263,109665.86371625263,109665.86371625263,109665.86371625263
bitcoin,2025-05-23,111560.356938144,2214712145787.249,52218408239.45193,126080.0,67.81,111560.356938144,111560.356938144,111560.356938144,111560.356938144
bitcoin,2025-05-24,107216.66856870624,2131595896624.4407,49251745837.96465,126080.0,67.81,107216.66856870624,107216.66856870624,107216.66856870624,107216.66856870624
bitcoin,2025-05-25,107831.36374380375,2142540077685.2197,27128230116.517162,126080.0,67.81,107831.36374380375,107831.36374380375,107831.36374380375,107831.36374380375
bitcoin,2025-05-26,108861.81037744327,2163072841533.6133,29652659665.048733,126080.0,67.81,108861.81037744327,108861.81037744327,108861.81037744327,108861.81037744327
bitcoin,2025-05-27,109377.71513263129,2173059855839.4187,27950577137.918888,126080.0,67.81,109377.71513263129,109377.71513263129,109377.71513263129,109377.71513263129
bitcoin,2025-05-28,109068.45694901445,2167551887130.0073,38978783508.88622,126080.0,67.81,109068.45694901445,109068.45694901445,109068.45694901445,109068.45694901445
bitcoin,2025-05-29,107838.18431100152,2143342706888.307,29794278037.284946,126080.0,67.81,107838.18431100152,107838.18431100152,107838.18431100152,107838.18431100152
bitcoin,2025-05-30,105745.41660358038,2101348752694.3137,38279231892.56757,126080.0,67.81,105745.41660358038,105745.41660358038,105745.41660358038,105745.41660358038
